key,LD1,LD2,LD3,LD4,LD5,LD6,LD7,LD8,LD9,LD10,LD11,LD12,LD13,LD14,LD15,LD16,LD17,LD18,LD19,LD20,assign,grp,posterior_assign,posterior_grp,Population,lat,lon
794,5.86527881024745,3.49858068380467,5.85481502416916,1.04300607373937,-1.12378124918799,-0.0802759341889462,-2.08765468477782,-1.30771401618839,-0.40060204807506705,-0.374104430636275,-1.8032222805948601,-3.7865316031790095,0.70102983723611,2.16884809223764,-0.0780340381903936,1.6930600630210502,1.9474326317206399,0.560492759784486,-1.40466113799702,2.84868452345932,20,20,0.868315625099075,0.868315625099075,Orcadian,59.0,-3.0
795,6.15122727881909,2.87618296876454,6.52902886935421,0.8378309319607951,-0.473696713937789,0.00196203339107213,-1.35442359137916,-1.16142656763143,-2.51406708908146,-0.480912446310625,1.2317428308553602,-0.7526361261331509,-0.0451100968354185,1.3813911039218403,2.8690003954341,0.162781093219871,0.21536492420258702,-0.0225413545479388,-0.515146444186386,-1.45293100884687,20,20,0.666932405802428,0.666932405802428,Orcadian,59.0,-3.0
796,6.10945790057514,2.13802495079933,5.322405080544621,1.3623870416548798,-0.152779549181765,0.26438828745813897,-1.44929582546729,-0.558078362326486,-1.70156069875789,-0.352306386448064,0.5740991582712901,-0.8909247773944441,0.260247356256374,2.2364793028532,0.259767229323256,-0.15091643419378198,0.17502105020188097,0.958539231962229,0.49387534867745503,1.37370233731814,20,20,0.562439358096417,0.562439358096417,Orcadian,59.0,-3.0
797,6.102600480271519,2.01850484690649,4.40257039413929,1.14920230375476,1.4760761137911298,0.257387146319495,-1.32481470972148,-3.10312635172951,-1.99933252841086,-1.83218946406333,1.83133401921887,0.23582609577124697,-0.9616096948309251,2.1828753825979,1.09167687257161,0.858428490443995,0.443844630643787,1.15923992151139,0.21511756569373197,-0.32219271808155703,20,20,0.836590843054702,0.836590843054702,Orcadian,59.0,-3.0
798,5.93775103932218,2.10652815905134,4.86544272312946,-0.764054917619877,1.5038059778204298,0.56497278694203,-1.41861134901094,-1.34922577637119,-0.8953046302445641,1.40170842352649,-1.28805858454375,-0.7230423924981659,-0.209719043228265,2.17457879168035,-0.8562307810841991,1.6438341304176203,-0.45239389103259603,1.07132625197322,-0.288673260068969,0.12771982069045598,25,20,0.53332537237798,0.393724756421514,Orcadian,59.0,-3.0
799,4.47872886302848,2.1078949962247,5.756928442436109,0.735747804816097,1.3588372496877599,-0.385104416803262,-0.7332917900447691,-0.812934044064115,-2.06390177769735,-0.11481841395999999,-1.58580452793142,1.0650541412980798,-1.07721206218044,4.4938558523267504,0.23947185351010897,1.20960499244075,-0.0608117910675968,1.1141561250589,-0.8358060765238051,-0.4298165364003,20,20,0.930991256094157,0.930991256094157,Orcadian,59.0,-3.0
800,5.024225942569889,1.45905190762295,6.00580668834095,0.395260483180654,0.31243571910143203,0.631585395856814,-3.38159333385635,-1.57786001195486,-0.374384345488255,-1.85391477832944,-0.0048639529825171,-2.74849302215186,0.6184091853113659,3.09278172915062,-0.37265028717715293,0.15333833480596198,-0.16344002221321,-0.263939145460849,-0.7517390509814209,-0.31840108105452397,24,20,0.5917057452843311,0.0654662613569186,Orcadian,59.0,-3.0
801,5.77024159195241,3.0874305108018,6.10599279892636,0.781553806665029,-0.410765532380192,0.41621269232991204,-1.62104410660604,-1.70528068796894,-0.9380552204106399,0.128500408244828,-1.2797539350476699,-3.99382502487578,0.7152788419937791,3.1279230587245204,0.343269910931271,1.5809557374221799,0.791332452120109,0.5945279975987491,-1.6297167355179798,2.40834216708022,20,20,0.9621668709965241,0.9621668709965241,Orcadian,59.0,-3.0
802,5.13249623387288,1.480641020007,5.80243361907394,1.21556018434995,1.19986072167408,-0.0773936566883704,-3.83953496569229,-2.9329745815679598,-0.6929826308533481,0.0969153997983103,-0.8821470547547281,-0.9027212844589109,-0.6611772608190699,1.68160382043582,-0.710920846143297,-0.619005177688938,-1.0581141349482,0.50803448335496,0.265617898154829,0.6855577380431689,24,20,0.4337314365496379,0.0728341690953188,Orcadian,59.0,-3.0
803,4.55191969542044,1.5906010809290299,6.28558655718416,0.925822240964773,0.10616989342803099,-1.09531167646415,0.342517680532882,-1.45304374769618,-0.552297233308245,-2.7711886250660402,0.24106432294939997,-1.14986007868521,-0.730743434756967,2.3787268283064704,-1.04911784125559,0.0669456530366297,0.4213051302023689,0.42522042190715403,-0.035033227281103,0.6458499613358321,25,20,0.5574304049021259,0.37815757029592106,Orcadian,59.0,-3.0
804,5.64820496088238,2.9956627167940804,5.731394634548191,-0.700426306082223,0.829824592612427,0.280389401434046,-0.864924109645559,-1.94268932892449,-0.19336508407423,-0.11129919516346302,-1.48144441888814,-2.64744487230008,0.0392890383486297,1.01229956417548,0.41899027210874995,0.0748759131086457,-0.0803548784342185,0.9818570507441909,0.11097126119793599,0.617401886835845,25,20,0.7574549329775601,0.212656663416746,Orcadian,59.0,-3.0
805,5.079297515818269,2.4550782518441903,7.01428804930005,1.23077217072257,0.6691969139062829,-0.29919813614165397,-0.49462485706758297,-1.93783340813097,-2.74585984529794,-1.4099964698993999,0.8123144641406651,-1.4548237925026102,0.6419929520747599,2.5223754674524,0.238982050648666,-0.35151980843314296,0.0157374615860471,-0.174559906449835,-1.0072499094963,-0.9263187386061071,20,20,0.870163008454251,0.870163008454251,Orcadian,59.0,-3.0
806,4.932925855730519,2.4894941024917703,3.7733143640806497,2.17182316610804,-0.6506547897550861,-0.122870600202705,-1.76857304338499,-0.865490673047294,-1.9778032367535099,-0.41356532387990796,1.1753438855073302,-0.429121799409315,1.7393123006023503,0.32433376197818203,1.57562539614355,-1.46352105505351,0.595836715922597,0.0881637808451485,-1.2579236448331002,-1.6403286074600902,21,20,0.29959257010913304,0.12044717109966802,Orcadian,59.0,-3.0
