"","assign"
"533","59"
"534","58"
"535","71"
"536","71"
"537","71"
"538","71"
"539","71"
"540","71"
"541","71"
"542","71"
"543","71"
"544","71"
"545","71"
"546","71"
"547","71"
"548","71"
"549","71"
"550","71"
"551","71"
"552","71"
"553","71"
"554","75"
"555","75"
"556","75"
"557","75"
"558","75"
"559","75"
"560","75"
"561","75"
"562","75"
"563","75"
"564","75"
"565","75"
"566","75"
"567","75"
"568","75"
"569","75"
"570","75"
"571","81"
"572","81"
"573","81"
"574","81"
"575","81"
"576","81"
"577","81"
"578","81"
"579","81"
"580","86"
"581","81"
"582","81"
"583","81"
"584","82"
"585","82"
"586","82"
"587","82"
"588","82"
"589","82"
"590","82"
"591","82"
"592","82"
"593","82"
"594","82"
"595","82"
"596","82"
"597","86"
"598","82"
"599","82"
"600","82"
"601","82"
"602","82"
"603","82"
"604","82"
"605","82"
"606","82"
"607","82"
"608","83"
"609","83"
"610","83"
"611","83"
"612","83"
"613","83"
"614","83"
"615","83"
"616","83"
"617","83"
"618","83"
"619","83"
"620","83"
"621","83"
"622","83"
"623","83"
"624","83"
"625","83"
"626","83"
"627","83"
"628","83"
"629","86"
"630","86"
"631","86"
"632","86"
"633","86"
"634","86"
"635","86"
"636","86"
"637","86"
"638","86"
"639","86"
"640","86"
"641","86"
"642","86"
"643","86"
"644","86"
"645","86"
"646","86"
"647","86"
"648","86"
"649","86"
"650","86"
"651","86"
"652","86"
"653","86"
"654","87"
"655","87"
"656","87"
"657","87"
"658","87"
"659","87"
"660","87"
"661","87"
"662","87"
"663","87"
"664","87"
"665","87"
"666","87"
"667","87"
"668","87"
"669","87"
"670","87"
"671","87"
"672","87"
"673","87"
"674","87"
"675","87"
"676","87"
"677","87"
"678","87"
"679","430"
"680","430"
"681","430"
"682","430"
"683","465"
"684","464"
"685","430"
"686","430"
"687","441"
"688","441"
"689","464"
"690","441"
"691","464"
"692","441"
"693","441"
"694","441"
"695","441"
"696","464"
"697","441"
"698","441"
"699","464"
"700","464"
"701","464"
"702","464"
"703","464"
"704","464"
"705","465"
"706","464"
"707","464"
"708","464"
"709","464"
"710","464"
"711","465"
"712","464"
"713","465"
"714","464"
"715","464"
"716","464"
"717","465"
"718","464"
"719","464"
"720","465"
"721","464"
"722","464"
"723","464"
"724","465"
"725","465"
"726","465"
"727","465"
"728","465"
"729","465"
"730","465"
"731","465"
"732","465"
"733","464"
"734","465"
"735","430"
"736","464"
"737","464"
"738","465"
"739","465"
"740","465"
"741","465"
"742","465"
"743","465"
"744","465"
"745","465"
"746","430"
"747","465"
"748","488"
"749","488"
"750","488"
"751","488"
"752","488"
"753","488"
"754","488"
"755","488"
"756","488"
"757","488"
"758","488"
"759","488"
"760","488"
"761","488"
"762","488"
"763","488"
"764","488"
"765","488"
"766","488"
"767","488"
