"","eig"
"1",1350.61139708758
"2",740.031368183217
"3",589.635378378118
"4",252.936922371063
"5",237.404961991079
"6",144.016130878942
"7",112.646900573401
"8",84.1483584681628
"9",65.2651597664713
"10",56.9098090371133
"11",50.9031854551119
"12",50.3775002158046
"13",40.4064484961218
"14",36.4710402433421
"15",21.7277410548556
"16",17.7413414332364
"17",13.5923943684468
"18",8.34098073324345
"19",3.13231378418325
"20",0.822740988966328
