"","posterior.1","posterior.10","posterior.11","posterior.12","posterior.13","posterior.14","posterior.2","posterior.3","posterior.4","posterior.5","posterior.6","posterior.7","posterior.8","posterior.9"
"Hawaii_Kauai_6601",1.89258277384061e-28,2.65820280696075e-11,8.60528968244265e-10,0.999986567382404,2.62761422664961e-10,7.10326492250611e-09,7.98816692568863e-22,1.48163835967509e-18,8.44172975457484e-09,9.50346211356038e-10,1.33612647684425e-05,2.97540168700284e-09,5.07322127154265e-08,5.47830619460549e-17
"Hawaii_Kauai_6604",4.80416670011531e-32,1.18163204503779e-09,2.15742433247699e-08,0.999998725514549,1.16137992696226e-08,1.24000810038236e-06,9.27147532251722e-24,3.6980897398948e-24,2.88572905871746e-14,3.401783087068e-12,1.03456322682798e-10,8.15232373851233e-14,7.08029192365983e-13,3.6359616918974e-24
"Hawaii_Kauai_6625",1.79282152100684e-32,5.8581165643959e-11,9.69863849610052e-12,0.999998960737348,1.85499471367271e-10,5.96988126048911e-09,1.39015646202153e-25,5.59558590730383e-21,1.5967900572768e-12,5.72609153307652e-09,1.01587579408479e-06,6.71480591809625e-10,1.07640288437785e-08,1.38660001102248e-18
"Hawaii_Kauai_6643",8.3941572245467e-37,1.6554906539326e-10,4.98784407049238e-10,0.999999999292025,1.08755080548596e-13,4.28252531748392e-11,2.12655571907738e-27,4.52427292225935e-27,5.06407023334493e-18,5.537930178035e-13,1.53928750126002e-13,4.89286348205263e-17,1.04875705172783e-16,3.07260810179532e-24
"Hawaii_Kauai_6645",1.48721423288849e-37,4.83285775954989e-15,3.19072647124343e-16,0.999999998338372,2.16571886218012e-12,1.64901683389178e-09,3.01804968411535e-30,2.82260750390301e-24,2.7086291201417e-16,1.03023710794755e-12,9.40415614900782e-12,1.50579699157642e-15,4.12580655049811e-15,2.73657216075206e-26
"Hawaii_Kauai_6646",9.35968528982797e-39,3.84845823984107e-13,1.30902498557847e-15,0.999999981353915,8.7568536172641e-11,1.84526672929956e-08,1.37958354138774e-30,8.41470383853596e-25,3.38144629165644e-16,9.29129547734043e-11,1.24046110675473e-11,5.12097898917301e-15,1.40337689204216e-13,3.66272040311263e-28
"Hawaii_Hawaii_6848",1.7408101383303e-34,5.2286460771833e-11,7.70353262902187e-13,0.99999999976511,2.80263000541222e-14,2.34393242559522e-12,3.27630614616878e-26,3.23355488140693e-23,6.97537375516433e-15,5.91050694786699e-12,1.69712239744496e-10,4.21812330554975e-14,3.78968186802812e-12,1.35447776115529e-20
"Hawaii_Hawaii_6849",1.31997324171959e-37,5.13858599678833e-13,1.19577801077418e-11,0.999999988336794,2.28755414522683e-10,1.11568348827716e-08,3.29936998977236e-29,1.53700516150155e-25,3.71990507450528e-16,5.01618349539026e-11,2.14152079490499e-10,9.54325238286372e-14,7.34367264842275e-13,4.98163094362694e-23
"Hawaii_Hawaii_6851",4.21413839483919e-32,1.01094304878725e-08,6.17710149187651e-08,0.999999891415649,3.39170112858516e-11,7.37167709546762e-10,1.46446714105039e-23,2.93619965236187e-22,6.51677217661806e-14,6.45173906955247e-11,3.58169518787922e-08,3.42531348501774e-12,4.78568833113034e-11,3.82209758127442e-15
"Hawaii_Hawaii_6852",1.63245859671699e-30,8.35388376271704e-09,2.47028746633968e-11,0.999999989438861,1.54673719873337e-12,2.93268513058938e-10,4.46614597396592e-23,2.67859726550991e-22,3.59236676422684e-12,1.45018535693403e-09,4.31997870865749e-10,1.39988114070358e-13,1.82171723979493e-12,4.59241527939979e-24
"Hawaii_Hawaii_6864",1.37551969480594e-36,1.33684464217884e-14,9.21551871995775e-15,0.999999998414475,4.12415225356532e-12,1.58083923900172e-09,9.19357081626137e-29,1.35359414216978e-24,1.14623469572848e-14,1.67000077187619e-13,3.57335122237694e-13,1.02510633864675e-16,3.2671010349998e-15,1.17175052738005e-30
"T1F.1_T1F.1",2.21398694561139e-22,6.04238487472319e-14,1.39622369813422e-16,1.09918835915289e-08,0.234067108611807,0.765932874503841,1.56070853966527e-19,4.657452650342e-14,5.38758801694651e-09,6.69855553035557e-14,5.04686020490179e-10,6.24328736213146e-15,1.37459166826006e-14,7.01694641752632e-22
"T1F.4_T1F.4",3.94348364059683e-21,2.17404114606236e-14,7.67502663406999e-17,2.50562315591758e-12,0.994931246323313,0.00506875356935956,8.00463377771013e-18,1.18537728152435e-15,2.90084124414364e-11,7.59166454279228e-14,7.55963813887930e-11,9.15530533106443e-14,2.67247127259887e-14,1.86001476721584e-22
"T1F.5_T1F.5",8.19761649776154e-23,3.16898271589968e-14,3.98538691626985e-16,2.6336414661565e-09,0.446635090971426,0.55336490390662,4.06677566540115e-20,3.8958018943409e-14,2.22985744003044e-09,1.21718298670515e-14,2.58352047928751e-10,6.06307585929711e-15,1.37318487364471e-14,4.06909511038025e-21
"T1F.6_T1F.6",1.30431157205666e-19,5.82599948076923e-14,1.69582641670301e-17,8.80971669209246e-12,0.975261162559707,0.0247388367520379,9.36359196370144e-17,1.95997312916749e-14,5.59344552991062e-10,1.24826788865363e-14,1.19978770477226e-10,2.44838164906899e-14,6.82509016127014e-15,1.61242331708259e-22
"T1F.8_T1F.8",7.14569147961261e-20,2.1848420498333e-13,8.89601363655212e-18,8.447053399819e-12,0.98543808348174,0.0145619152578615,1.18090338648182e-16,1.18618346140923e-14,4.4021491603074e-10,5.51717252148426e-14,8.10733488624181e-10,6.59851613309394e-13,5.71300752065745e-14,1.88310804557102e-21
"T1M.1_T1M.1",3.16433548646288e-21,5.78983370623025e-15,1.03273406014875e-16,1.95933847623999e-11,0.721166049543642,0.278833941806268,9.91265790386435e-19,1.18520712067132e-13,8.34298915628805e-09,4.27390995079222e-15,2.8736595361923e-10,5.39643728347978e-15,7.23027366193764e-15,1.32050053814698e-21
"T1M.2_T1M.2",8.89064884647447e-22,1.01468542834253e-15,2.63247774689636e-17,3.65018401823812e-13,0.665912828734488,0.334087170839976,1.17389953473581e-18,2.46891210187282e-15,4.18534787731837e-10,8.8872594976276e-17,6.6322677174336e-12,1.2374713039162e-16,8.53688730481861e-17,1.87953497308105e-24
"T1M.3_T1M.3",4.01720861815951e-24,9.90621971601911e-14,2.00070705869244e-17,6.73629012652598e-09,0.312022677178861,0.68797731585933,3.25524065397188e-20,8.00808317873407e-17,1.48342508270946e-10,6.26897804168164e-14,7.69881652814236e-11,2.31299563552171e-15,2.42436358679935e-14,1.49021176117396e-24
"T1M.4_T1M.4",1.53152345308954e-25,4.54642497891691e-17,2.73832871779795e-20,6.75880713545323e-12,0.918114085116288,0.0818859148769171,3.29981069612598e-22,2.47223876928987e-18,1.83204279986076e-14,2.75776581413258e-17,1.74907380597484e-14,1.11749804021353e-17,5.59906616975143e-18,5.83318526252215e-28
"RmelF.1_RmelF.1",4.17153072276697e-24,3.01367163465567e-12,6.59492195242055e-16,1.32977508277355e-07,0.105896123725807,0.894103720850338,2.30658128855802e-20,5.22904155068887e-15,4.61941593113903e-09,4.19928021089701e-13,1.78212871888973e-08,1.6031802412696e-13,2.04422557135476e-12,4.034333672244e-19
"RmelF.2_RmelF.2",2.62869088467684e-23,8.62358110798703e-14,2.71594675521588e-16,2.57352082696123e-08,0.16968531293458,0.830314656436857,6.60566911079795e-20,4.17081100049488e-15,3.93299561997569e-09,2.58507941680012e-14,9.60217646890979e-10,6.45631641817899e-15,1.83174204699637e-14,1.96434340907135e-21
"RmelF.3_RmelF.3",1.35414588503604e-27,6.27723529747643e-19,2.18505946381974e-18,1.0992548967463e-10,0.0527924162813847,0.947207583608459,4.89725260662437e-24,1.2606449946059e-19,1.24107712678459e-13,1.71601675660112e-18,1.0667632595373e-13,9.8314031506931e-20,1.25146308471652e-18,1.4317614516814e-25
"RmelF.4_RmelF.4",1.75445781382427e-30,2.48691825321217e-16,1.0826604961737e-17,1.29411828061041e-08,0.00924373886242353,0.990756248196392,1.25416540643037e-25,1.07879652406242e-22,8.4001682326995e-16,7.93527066288182e-19,4.30686323309795e-16,1.75811189804701e-21,2.54126179402965e-20,1.6291226980592e-29
"RmelF.7_RmelF.7",5.52290006059148e-23,1.36604995753665e-14,6.1903179724312e-17,5.21236547391173e-11,0.538075054733468,0.461924944550025,4.538787868037e-20,7.89752496276516e-15,4.7882209229405e-10,2.97157370142096e-15,1.85521373175343e-10,9.68245149075991e-15,5.71792122436507e-15,1.78979809007623e-21
"RmelF.8_RmelF.8",5.71821069578768e-30,1.92524167808585e-19,1.69760880875004e-21,7.07103804214725e-11,0.0678131341203531,0.932186865808934,3.37919585320852e-26,1.35789492459587e-20,3.0063757952569e-15,7.68488138350387e-20,1.37469219998793e-16,1.02780662940746e-21,4.16798887843203e-21,1.03386915289264e-30
"RmelM.2_RmelM.2",1.30817383104822e-23,3.58701153618184e-13,1.43075341484463e-15,4.09261459384881e-07,0.192664777235231,0.807334808760269,4.89912217989172e-20,1.55244561107308e-15,1.17779972364965e-09,8.59732561975912e-13,3.56327417575177e-09,5.52025449974475e-14,6.89828757601469e-13,5.86030073483947e-21
"RmelM.3_RmelM.3",4.96640598860204e-32,1.08246752501135e-18,2.56157275158778e-21,3.67475871601259e-08,0.0264782560697243,0.973521707182686,6.99426866781019e-27,6.37625586514825e-23,4.26991364067879e-16,1.1873303521293e-18,1.92273693407222e-15,6.53192780778166e-21,7.75383223194716e-20,6.9727273618953e-30
"RmelM.4_RmelM.4",1.54523590242457e-19,5.58033978890033e-13,1.73212418980985e-14,1.25774621712269e-09,0.19506899776123,0.804926236115049,6.73332984798097e-17,5.21329086226633e-12,4.73468071901493e-06,5.64851451517185e-13,3.01783401449471e-08,9.32535631777033e-14,4.68390419520948e-13,1.35135824192247e-20
"RmelM.7_RmelM.7",1.04324112878299e-23,1.05031547324673e-17,3.56749669024851e-18,5.11970450908066e-12,0.111543587311555,0.888456412666755,1.1169771487521e-20,7.83280145903171e-17,1.64941448975522e-11,1.72284371376496e-18,7.63857153836107e-14,9.59031144130309e-20,4.05987874397378e-19,2.93491321517757e-26
"RmelM.8_RmelM.8",5.48376145403589e-22,1.96363741996249e-12,1.63171603568095e-14,5.71563633915568e-09,0.375165235906584,0.624834715773705,6.40938588662925e-19,3.13086631287835e-13,3.67928882532871e-08,1.48960892618004e-13,5.80814573251049e-09,2.46709180790344e-13,3.51854207756501e-13,2.05572221689373e-19
