"","posterior.1","posterior.10","posterior.11","posterior.12","posterior.13","posterior.14","posterior.2","posterior.3","posterior.4","posterior.5","posterior.6","posterior.7","posterior.8","posterior.9"
"China_Nanning_6692",6.39407967954705e-27,0.421800792531009,7.83875732640486e-09,1.41571007337935e-09,5.82878262118743e-12,4.2314942767277e-12,5.29758340966992e-21,8.31967493026333e-12,2.81434770742471e-07,0.552026616508077,0.0145051785574573,0.000171857782034142,0.0114952639137866,1.81409545176681e-14
"China_Nanning_6693",1.46353048840333e-28,0.99998672462607,1.13720936646101e-05,1.39425306164107e-06,1.6506836191855e-17,3.58540331366842e-17,1.35828587608426e-20,2.71848331325786e-18,8.07034091545344e-12,6.377861382176e-08,1.04321640628349e-07,2.70190216536758e-07,7.072866261109e-08,1.04687291153647e-16
"China_Nanning_6694",9.61419004058468e-24,0.0403021057617568,4.70497268013717e-05,5.6250758004409e-06,4.25365159964229e-14,3.35988677630404e-15,3.53616901786687e-16,4.63163056377561e-16,5.46889213696809e-07,0.147736317970643,0.788178492805157,0.0107074935837478,0.0130223239775268,4.42093070155734e-08
"China_Nanning_6695",2.29677676979238e-20,0.999907288662419,3.61701509456542e-06,4.08616919364738e-12,1.11615001476695e-12,5.43560055547274e-14,1.22549149170213e-13,1.26620259785814e-15,7.02262539252612e-11,2.28702212805978e-06,8.4589477975174e-05,1.28149943923276e-07,2.07804600916282e-06,1.15508235841547e-08
"China_Nanning_7174",1.11286303214131e-25,0.998951599150194,2.45703345791344e-06,3.99929939969119e-15,4.55656498728752e-13,1.32981779770799e-15,6.46310330097896e-21,1.1221748088701e-15,3.49201208347544e-11,0.000189665851273126,1.91780331146205e-05,0.000761511111956311,7.55887846217971e-05,4.54280464756872e-20
"China_Nanning_7175",1.02483190115557e-19,0.984559644409415,0.0152061114803245,1.45694702442953e-12,2.56937350032985e-15,5.91065757229324e-16,4.17147738376928e-16,1.16054995180952e-11,1.3113863419973e-07,9.14127826146615e-08,0.000113242955492756,2.14440101049068e-06,0.000118410487571403,2.23701703414058e-07
"Taiwan_6790",7.35308873433409e-29,0.000195671458256768,0.999804322880315,8.8307659324767e-13,2.03464858838741e-16,1.0856685319095e-16,5.83493895059457e-22,1.49646672447715e-19,1.36032460246898e-11,2.21601865334776e-10,5.35737222720996e-09,1.44452545400016e-11,5.35190859693973e-11,3.33158934056342e-15
"Taiwan_7010",1.46673966254925e-27,2.51508261670621e-08,0.999999938557387,1.64037454032548e-14,1.9379412755257e-17,2.53725034799709e-17,3.40649976985055e-22,6.08462979358809e-18,5.06041626394346e-12,2.94820557353355e-11,3.59761207452558e-08,5.91084984064214e-12,3.4130216271554e-11,2.41065921481728e-10
"Taiwan_7012",7.17892182479427e-34,2.81278418260373e-08,0.999999965025449,1.94400565479449e-09,1.16065451758655e-13,7.64363799356281e-14,7.71888491636717e-26,4.48572350611676e-25,1.61799444173346e-16,3.18189011426542e-10,4.47310983511876e-09,1.52985579279385e-12,1.09681285926923e-10,4.71194648013177e-16
"Taiwan_7013",1.33517194436509e-17,0.000183922117554945,0.999793317744997,7.38482258010044e-08,2.00322826398032e-06,8.73510902451386e-07,1.17844084758572e-11,1.96137513844852e-11,2.17849516653275e-06,2.1400816829404e-08,1.75705339218104e-05,1.47187753152484e-08,3.19031889015697e-10,2.40509450799759e-08
"Taiwan_7014",1.42723724379819e-37,6.32060825326652e-09,0.999999993653317,1.18615052293405e-12,4.00714605372756e-20,5.87102376680803e-20,1.41373356206323e-29,7.53951528737658e-26,4.29783257375718e-19,6.18509512335722e-13,4.00714602698839e-12,9.16116275472292e-15,7.20181923670468e-14,2.01819008960918e-11
"Taiwan_7015",3.33899564950875e-37,6.9163104225202e-08,0.999999930831032,5.70002342187533e-12,1.07765481570309e-20,1.20327015789922e-19,7.59849907460931e-30,1.76655037752947e-25,1.63237904117325e-18,8.82824905900433e-14,5.97561973522626e-14,1.83801526870889e-16,1.48136549020948e-14,3.151370289901e-20
"Taiwan_7016",7.50638541269063e-33,2.0340322525509e-06,0.999997959549965,5.15079104698258e-09,9.67326985686394e-13,5.01447680822733e-12,4.62282682938204e-24,1.45714158147208e-23,1.86647149968723e-14,1.82381559888452e-11,1.24084879648946e-09,6.75555275864462e-15,1.89619233883636e-12,6.63258369530568e-16
"Taiwan_7017",1.70479016263402e-34,4.1634225216059e-06,0.999995832192005,3.27795546021854e-18,1.30390935499914e-21,9.3980197817023e-23,2.00143810952308e-27,9.74299863840373e-25,2.20619234717181e-18,3.78925520265994e-09,2.65737172511104e-10,2.11072369328354e-11,2.62238616293316e-11,2.83149696095382e-10
"Taiwan_7020",1.2186218118226e-28,0.763517883852094,0.236481787389897,2.34649663548645e-14,1.6593673075329e-17,1.71511998442385e-18,8.66270310197271e-22,7.5335637367981e-21,3.85946267291504e-12,1.16848384113949e-07,9.41202399652406e-08,3.58919647835381e-08,8.18934739879515e-08,6.34793597156075e-14
"Taiwan_7022",1.9813837068332e-33,5.63495498098175e-08,0.999999943645579,1.75301547821894e-13,1.12499191382442e-22,3.6043072812941e-22,8.65522264584742e-26,5.3154397097023e-23,7.58880343426103e-16,1.33925066681495e-12,3.34904658828533e-12,1.27786048194561e-15,2.81552557280038e-15,3.13531506065617e-15
"Taiwan_7025",8.24953857448802e-34,2.98587766681542e-09,0.999999996426797,1.23373222340379e-13,4.88010685211595e-21,2.36354512130099e-21,2.37515010677311e-27,4.82024712966625e-22,1.67402756517305e-15,2.75694437685875e-12,5.03823745444855e-10,1.97687829247732e-12,4.75318390170485e-12,7.38894233427676e-11
