key,Population,Lat,Lng
624,Bedouin,31.0,35.0
625,Bedouin,31.0,35.0
626,Bedouin,31.0,35.0
627,Bedouin,31.0,35.0
628,Bedouin,31.0,35.0
629,Bedouin,31.0,35.0
630,Bedouin,31.0,35.0
631,Bedouin,31.0,35.0
632,Bedouin,31.0,35.0
633,Bedouin,31.0,35.0
634,Bedouin,31.0,35.0
635,Bedouin,31.0,35.0
636,Bedouin,31.0,35.0
637,Bedouin,31.0,35.0
638,Bedouin,31.0,35.0
639,Bedouin,31.0,35.0
640,Bedouin,31.0,35.0
641,Bedouin,31.0,35.0
642,Bedouin,31.0,35.0
643,Bedouin,31.0,35.0
644,Bedouin,31.0,35.0
645,Bedouin,31.0,35.0
646,Bedouin,31.0,35.0
647,Bedouin,31.0,35.0
648,Bedouin,31.0,35.0
649,Bedouin,31.0,35.0
650,Bedouin,31.0,35.0
651,Bedouin,31.0,35.0
653,Bedouin,31.0,35.0
654,Bedouin,31.0,35.0
701,Bedouin,31.0,35.0
557,Druze,32.0,35.0
558,Druze,32.0,35.0
559,Druze,32.0,35.0
560,Druze,32.0,35.0
561,Druze,32.0,35.0
562,Druze,32.0,35.0
563,Druze,32.0,35.0
564,Druze,32.0,35.0
565,Druze,32.0,35.0
566,Druze,32.0,35.0
567,Druze,32.0,35.0
568,Druze,32.0,35.0
569,Druze,32.0,35.0
570,Druze,32.0,35.0
571,Druze,32.0,35.0
572,Druze,32.0,35.0
573,Druze,32.0,35.0
574,Druze,32.0,35.0
575,Druze,32.0,35.0
576,Druze,32.0,35.0
577,Druze,32.0,35.0
578,Druze,32.0,35.0
579,Druze,32.0,35.0
580,Druze,32.0,35.0
581,Druze,32.0,35.0
582,Druze,32.0,35.0
583,Druze,32.0,35.0
584,Druze,32.0,35.0
585,Druze,32.0,35.0
586,Druze,32.0,35.0
587,Druze,32.0,35.0
588,Druze,32.0,35.0
590,Druze,32.0,35.0
591,Druze,32.0,35.0
592,Druze,32.0,35.0
594,Druze,32.0,35.0
595,Druze,32.0,35.0
597,Druze,32.0,35.0
598,Druze,32.0,35.0
599,Druze,32.0,35.0
600,Druze,32.0,35.0
601,Druze,32.0,35.0
602,Druze,32.0,35.0
603,Druze,32.0,35.0
604,Druze,32.0,35.0
605,Druze,32.0,35.0
606,Druze,32.0,35.0
675,Palestinian,32.0,35.0
676,Palestinian,32.0,35.0
677,Palestinian,32.0,35.0
678,Palestinian,32.0,35.0
679,Palestinian,32.0,35.0
680,Palestinian,32.0,35.0
681,Palestinian,32.0,35.0
682,Palestinian,32.0,35.0
683,Palestinian,32.0,35.0
684,Palestinian,32.0,35.0
685,Palestinian,32.0,35.0
686,Palestinian,32.0,35.0
687,Palestinian,32.0,35.0
688,Palestinian,32.0,35.0
689,Palestinian,32.0,35.0
690,Palestinian,32.0,35.0
691,Palestinian,32.0,35.0
692,Palestinian,32.0,35.0
693,Palestinian,32.0,35.0
694,Palestinian,32.0,35.0
695,Palestinian,32.0,35.0
696,Palestinian,32.0,35.0
697,Palestinian,32.0,35.0
698,Palestinian,32.0,35.0
699,Palestinian,32.0,35.0
700,Palestinian,32.0,35.0
722,Palestinian,32.0,35.0
723,Palestinian,32.0,35.0
724,Palestinian,32.0,35.0
725,Palestinian,32.0,35.0
726,Palestinian,32.0,35.0
727,Palestinian,32.0,35.0
728,Palestinian,32.0,35.0
729,Palestinian,32.0,35.0
730,Palestinian,32.0,35.0
731,Palestinian,32.0,35.0
732,Palestinian,32.0,35.0
733,Palestinian,32.0,35.0
734,Palestinian,32.0,35.0
735,Palestinian,32.0,35.0
736,Palestinian,32.0,35.0
737,Palestinian,32.0,35.0
738,Palestinian,32.0,35.0
739,Palestinian,32.0,35.0
740,Palestinian,32.0,35.0
741,Palestinian,32.0,35.0
742,Palestinian,32.0,35.0
743,Palestinian,32.0,35.0
744,Palestinian,32.0,35.0
745,Palestinian,32.0,35.0
746,Palestinian,32.0,35.0
52,Balochi,30.49871492,66.5
54,Balochi,30.49871492,66.5
56,Balochi,30.49871492,66.5
57,Balochi,30.49871492,66.5
58,Balochi,30.49871492,66.5
60,Balochi,30.49871492,66.5
62,Balochi,30.49871492,66.5
64,Balochi,30.49871492,66.5
66,Balochi,30.49871492,66.5
68,Balochi,30.49871492,66.5
70,Balochi,30.49871492,66.5
72,Balochi,30.49871492,66.5
74,Balochi,30.49871492,66.5
76,Balochi,30.49871492,66.5
78,Balochi,30.49871492,66.5
80,Balochi,30.49871492,66.5
82,Balochi,30.49871492,66.5
84,Balochi,30.49871492,66.5
86,Balochi,30.49871492,66.5
88,Balochi,30.49871492,66.5
90,Balochi,30.49871492,66.5
92,Balochi,30.49871492,66.5
94,Balochi,30.49871492,66.5
96,Balochi,30.49871492,66.5
98,Balochi,30.49871492,66.5
1,Brahui,30.49871492,66.5
3,Brahui,30.49871492,66.5
5,Brahui,30.49871492,66.5
7,Brahui,30.49871492,66.5
9,Brahui,30.49871492,66.5
11,Brahui,30.49871492,66.5
13,Brahui,30.49871492,66.5
15,Brahui,30.49871492,66.5
17,Brahui,30.49871492,66.5
19,Brahui,30.49871492,66.5
21,Brahui,30.49871492,66.5
23,Brahui,30.49871492,66.5
25,Brahui,30.49871492,66.5
27,Brahui,30.49871492,66.5
29,Brahui,30.49871492,66.5
31,Brahui,30.49871492,66.5
33,Brahui,30.49871492,66.5
35,Brahui,30.49871492,66.5
37,Brahui,30.49871492,66.5
39,Brahui,30.49871492,66.5
41,Brahui,30.49871492,66.5
43,Brahui,30.49871492,66.5
45,Brahui,30.49871492,66.5
47,Brahui,30.49871492,66.5
49,Brahui,30.49871492,66.5
336,Burusho,36.49838568,74.0
338,Burusho,36.49838568,74.0
341,Burusho,36.49838568,74.0
346,Burusho,36.49838568,74.0
351,Burusho,36.49838568,74.0
356,Burusho,36.49838568,74.0
359,Burusho,36.49838568,74.0
364,Burusho,36.49838568,74.0
371,Burusho,36.49838568,74.0
372,Burusho,36.49838568,74.0
376,Burusho,36.49838568,74.0
382,Burusho,36.49838568,74.0
388,Burusho,36.49838568,74.0
392,Burusho,36.49838568,74.0
397,Burusho,36.49838568,74.0
402,Burusho,36.49838568,74.0
407,Burusho,36.49838568,74.0
412,Burusho,36.49838568,74.0
417,Burusho,36.49838568,74.0
423,Burusho,36.49838568,74.0
428,Burusho,36.49838568,74.0
433,Burusho,36.49838568,74.0
438,Burusho,36.49838568,74.0
444,Burusho,36.49838568,74.0
445,Burusho,36.49838568,74.0
99,Hazara,33.49855601,70.0
100,Hazara,33.49855601,70.0
102,Hazara,33.49855601,70.0
103,Hazara,33.49855601,70.0
104,Hazara,33.49855601,70.0
105,Hazara,33.49855601,70.0
106,Hazara,33.49855601,70.0
108,Hazara,33.49855601,70.0
109,Hazara,33.49855601,70.0
110,Hazara,33.49855601,70.0
112,Hazara,33.49855601,70.0
113,Hazara,33.49855601,70.0
115,Hazara,33.49855601,70.0
116,Hazara,33.49855601,70.0
118,Hazara,33.49855601,70.0
119,Hazara,33.49855601,70.0
120,Hazara,33.49855601,70.0
121,Hazara,33.49855601,70.0
122,Hazara,33.49855601,70.0
124,Hazara,33.49855601,70.0
125,Hazara,33.49855601,70.0
127,Hazara,33.49855601,70.0
128,Hazara,33.49855601,70.0
129,Hazara,33.49855601,70.0
267,Kalash,35.99366014,71.5
274,Kalash,35.99366014,71.5
277,Kalash,35.99366014,71.5
279,Kalash,35.99366014,71.5
281,Kalash,35.99366014,71.5
285,Kalash,35.99366014,71.5
286,Kalash,35.99366014,71.5
288,Kalash,35.99366014,71.5
290,Kalash,35.99366014,71.5
292,Kalash,35.99366014,71.5
298,Kalash,35.99366014,71.5
302,Kalash,35.99366014,71.5
304,Kalash,35.99366014,71.5
307,Kalash,35.99366014,71.5
309,Kalash,35.99366014,71.5
311,Kalash,35.99366014,71.5
313,Kalash,35.99366014,71.5
315,Kalash,35.99366014,71.5
319,Kalash,35.99366014,71.5
321,Kalash,35.99366014,71.5
323,Kalash,35.99366014,71.5
326,Kalash,35.99366014,71.5
