key,LD1,LD2,LD3,LD4,LD5,LD6,LD7,LD8,LD9,LD10,LD11,LD12,LD13,assign,grp,posterior_assign,posterior_grp,Decimal Latitude,Decimal Longitude
Philippines_Luzon_7102,-2.51708177107867,-3.7490263289910697,2.79751678473894,4.27221906042198,1.5981847942283502,1.25021135844632,-1.2687067986228702,-1.28770562001048,-0.159188552561702,1.12091305493677,1.195592410949,0.708112434267328,0.8833546270644541,9,9,4.3280817727757295e-18,4.3280817727757295e-18,13.755,120.92200000000001
Philippines_Luzon_7103,-1.5663866319004598,-4.94465740350578,1.76244257741101,5.96162788139457,0.6543800642940321,1.43655275356712,-1.21028804588874,0.344018879780635,1.19339734413374,1.05656733319026,-0.540646507900752,0.42752561595017896,1.3263115010603999,9,9,4.63540008904626e-21,4.63540008904626e-21,13.755,120.92200000000001
Philippines_Luzon_7104,-3.17301799680551,-4.24119939445531,1.16934998166509,5.98899314131449,-0.41858689515276903,0.712983892506643,-1.1157011791900902,-1.0629786474554002,-0.8021485020417141,-0.00148861293529018,-0.913445725234285,0.246027022038488,1.00078034464922,9,9,3.93597433763345e-22,3.93597433763345e-22,13.755,120.92200000000001
China_Jinghong_6683,-0.5472839790113471,-1.33966146007312,1.59815561710406,-2.4922047361687203,1.6428476977412299,-1.2636233262714098,-2.00447462428952,-1.59930635169411,0.5808484906477591,1.22786513706203,-1.00919270472639,-0.267029035838349,-1.74159687641639,5,10,5.80558811873795e-17,0.898449203741264,22.1308779157698,100.67274402827
China_Nanning_6689,-1.3912658003376899,-1.07789703065121,-0.473087057559492,-2.29010925456583,-1.11299267914575,-1.6236272332566801,-2.50339118977413,-1.34296751374933,-0.683071011756915,1.10464445222256,0.0833192517478009,0.8405275881106999,0.587637852234001,10,10,0.000353414290611602,0.000353414290611602,22.9674831312149,107.63610639609301
China_Nanning_6690,-2.76819748155147,-1.38181619968719,-0.17366536421589798,0.8211833331827401,1.15123260641198,-0.946123071222898,-2.41736354544636,0.47956227753256603,-1.5396134667316597,1.09836831440611,-1.26808802239079,-2.35334486120619,1.0999817573833002,10,10,0.000318172938422536,0.000318172938422536,22.9674831312149,107.63610639609301
China_Nanning_6691,-2.2675016616013997,-2.56234646121396,-2.09082330032314,-1.86357006882562,1.19012178972622,-1.6972706156271202,-2.31171838768243,-1.65597162711716,-0.573233665520802,-0.716772709977833,1.54430729659934,1.59806685188238,0.0738446337206534,10,10,1.40160998689246e-06,1.40160998689246e-06,22.9674831312149,107.63610639609301
China_Nanning_6692,-1.67775114889343,-0.37958976473501294,2.18815283136802,-1.22485763078387,-0.528568778677946,-2.25942476711321,-2.51712983720335,-1.4522733331218898,0.30087443858479196,0.9891501136988791,0.27861948415746396,1.06128915368905,-1.23351399288994,5,10,5.82878262118743e-12,0.552026616508077,22.9674831312149,107.63610639609301
China_Nanning_6693,-2.67059514977994,-0.28821326844794604,-1.10756669508583,-2.13038528417218,1.38795108258317,0.292738208282024,-2.54209042322955,-3.0409085625521803,-2.18181543879918,-1.8888214441638702,0.780450404049938,-0.499702421928595,-1.54851633751193,10,10,6.377861382176e-08,6.377861382176e-08,22.9674831312149,107.63610639609301
China_Nanning_6694,-2.01704680108917,-1.3627049079660902,0.964639347936758,-0.772333631433002,1.5913920544213402,0.47614420357312703,-1.38508802538273,1.29930195689535,0.44808498106072997,-0.348336908916842,-0.9757798822837029,-1.98374544805197,1.5017013047370702,6,10,3.3598867763040404e-15,0.14773631797064302,22.9674831312149,107.63610639609301
China_Nanning_6695,-1.07726818967648,-2.06343161835986,-1.1149390005384,1.03207932194702,1.63190271092435,-1.77334715129739,-2.36787572410956,-1.5807842024496799,-1.08183079844909,-0.18353287575776503,1.0535562409942298,1.47538679563872,0.806162644971535,10,10,2.2870221280597803e-06,2.2870221280597803e-06,22.9674831312149,107.63610639609301
China_Nanning_7174,-1.52126946991301,-1.46173052627961,-0.34968317900916196,-2.20990868989737,-0.857681951541235,-4.84694896250993,-1.2975694059293799,-1.53494536080229,-0.7986734906942651,-2.3420258751390097,1.0012867745938498,-0.9185060643323021,1.3715660466342,10,10,0.000189665851273126,0.000189665851273126,NaN,NaN
China_Nanning_7175,-1.1876146586041398,-3.02945615607494,-1.3988043759536999,0.0385495799085677,-0.469550064588591,-0.16842032667839496,-0.5280359544821199,-2.13284957874804,-2.57254289552947,0.447647857690301,0.640692779458515,0.21499792357671998,-0.12013776190266401,10,10,9.14127826146615e-08,9.14127826146615e-08,NaN,NaN
Taiwan_6790,-2.70604304372992,-1.72664501877608,-3.3326277100747697,-1.04110930213369,-1.9576562794302699,-0.355707996659574,-1.346803197002,-0.0128643565645086,-0.37589022381329107,-0.658345419483147,0.40159712638816997,-0.503113591373526,0.91357434242736,11,11,5.357372227209961e-09,5.357372227209961e-09,23.566122,119.58615800000001
Taiwan_7010,-2.53203841445319,-2.66870396570739,-3.1329890975101,0.470305082943118,-1.9698304626291498,0.483130787066485,0.895525730399078,1.01132019249777,1.07962970196424,0.0999290121424256,0.9266509452258921,0.0996484153801291,0.0614805087447063,11,11,3.59761207452558e-08,3.59761207452558e-08,23.83579298,120.747836
Taiwan_7012,-4.14939799676472,-0.314968343299145,-3.44362286782946,-0.0830785496319854,-0.47489637524183503,-1.43193030461501,1.08734559357257,1.79099883807258,0.726251244614872,-0.17936423032584398,0.41914302597496206,1.3515514235849397,1.86965421320481,11,11,4.47310983511876e-09,4.47310983511876e-09,23.83579298,120.747836
Taiwan_7013,-0.937475874944631,-0.473618879629706,-3.52817838004309,1.7997327746533602,-0.9438031116528249,0.284640636318401,-0.617957377864547,-0.35212222793020503,1.2705968709928899,-1.26961271821805,-0.39768885713987606,-0.16899608362063698,-2.12107221021618,11,11,1.75705339218104e-05,1.75705339218104e-05,23.46029696,120.55295500000001
Taiwan_7014,-4.79443350788426,-2.0507783068433003,-3.69101529161641,0.6851644998726921,-0.65450044029617,0.539413495544105,0.33106213212012897,-0.27882871682248805,0.8875667447145631,0.15404175927847502,-0.8037217911245941,0.342528488269315,-0.364683649904428,11,11,4.00714602698839e-12,4.00714602698839e-12,23.46029696,120.55295500000001
