"","eig"
"1",207.441764055583
"2",98.3363350774331
"3",55.2533459657071
"4",43.9059430337625
"5",31.5988909792075
"6",23.428346583612
"7",7.46436310433482
"8",4.90322327933759
"9",4.12082210293422
"10",1.80352629721467
"11",1.2293823071933
"12",0.583330063857965
"13",0.265668665356552
